Order Number,Order Date,Order Time,RestID,CustLocationEasting,CustLocationNorthing,,
94177,31/12/2019,19:07,1,523091,186717,,
94176,31/12/2019,18:37,1,522737,184788,,
94182,31/12/2019,21:52,1,525383,187814,,
94181,31/12/2019,19:53,1,522131,185475,,
7464,31/12/2019,19:34,3,542298,261254,,
7460,31/12/2019,18:20,3,546103,259876,,
7462,31/12/2019,18:28,2,412745,290494,,
7458,31/12/2019,17:35,2,394587,281613,,
7459,31/12/2019,17:51,2,404759,274266,,
7465,31/12/2019,20:18,2,398316,290926,,
7461,31/12/2019,18:23,2,413656,281530,,
7463,31/12/2019,19:13,2,399271,289266,,
94193,01/01/2020,19:59,1,520217,187505,,
94192,01/01/2020,18:23,1,521710,187985,,
94190,01/01/2020,18:03,3,547569,260360,,
94189,01/01/2020,18:00,1,521714,184641,,
94184,01/01/2020,16:46,1,524777,183701,,
94194,01/01/2020,21:07,1,524853,184196,,
94191,01/01/2020,18:10,1,518754,182825,,
94187,01/01/2020,17:21,1,522251,184776,,
94185,01/01/2020,17:04,3,545694,259585,,
94186,01/01/2020,17:16,1,523651,187183,,
94183,01/01/2020,13:18,1,523937,183564,,
7469,01/01/2020,19:01,2,399573,289595,,
7471,01/01/2020,21:38,2,408263,279684,,
7468,01/01/2020,18:53,3,546175,257841,,
7466,01/01/2020,18:09,2,402214,276458,,
7470,01/01/2020,20:20,2,410427,276186,,
7467,01/01/2020,18:17,2,410851,278470,,
94197,02/01/2020,17:38,1,520466,183860,,
94195,02/01/2020,13:37,3,542559,267728,,
94196,02/01/2020,17:35,1,525847,183197,,
7473,02/01/2020,21:24,2,399140,273777,,
7472,02/01/2020,17:46,3,543307,255548,,
94207,03/01/2020,19:04,1,523113,187016,,
94206,03/01/2020,18:43,1,519545,184332,,
94208,03/01/2020,19:44,1,520830,187945,,
94199,03/01/2020,17:10,1,523580,187823,,
94212,03/01/2020,20:09,1,520561,186458,,
94205,03/01/2020,18:28,3,545949,267476,,
94204,03/01/2020,18:25,1,518722,186647,,
94202,03/01/2020,17:55,1,523195,185994,,
94210,03/01/2020,19:49,3,539928,262322,,
94209,03/01/2020,19:45,1,519074,186262,,
94201,03/01/2020,17:34,1,519357,187820,,
94200,03/01/2020,17:32,3,548250,260662,,
94203,03/01/2020,18:12,1,521832,183934,,
94198,03/01/2020,16:55,1,519311,185726,,
94211,03/01/2020,20:05,1,519543,184961,,
7495,03/01/2020,22:07,2,399677,287612,,
7488,03/01/2020,19:32,3,541626,256016,,
7484,03/01/2020,18:52,3,541648,262487,,
7480,03/01/2020,17:59,3,541733,263850,,
7479,03/01/2020,17:43,2,404948,280278,,
7478,03/01/2020,17:38,2,400849,278002,,
7476,03/01/2020,17:04,3,541526,262414,,
7474,03/01/2020,12:18,2,395450,285331,,
7487,03/01/2020,19:24,2,397330,286364,,
7486,03/01/2020,19:13,2,396856,277511,,
7493,03/01/2020,20:39,2,399919,281721,,
7485,03/01/2020,18:54,2,395315,282335,,
7481,03/01/2020,18:20,2,397315,288403,,
7483,03/01/2020,18:51,2,410056,281443,,
7477,03/01/2020,17:26,2,395343,278520,,
7494,03/01/2020,21:12,2,395925,291946,,
7492,03/01/2020,20:30,3,546961,260771,,
7491,03/01/2020,20:09,2,395770,278182,,
7490,03/01/2020,19:52,2,405553,280587,,
7489,03/01/2020,19:42,2,406973,282942,,
7482,03/01/2020,18:37,2,395903,289235,,
94229,04/01/2020,19:52,1,524462,183351,,
94227,04/01/2020,19:29,1,521910,186138,,
94217,04/01/2020,18:04,1,525917,187414,,
94224,04/01/2020,18:28,1,518155,182959,,
94219,04/01/2020,18:16,1,521642,184658,,
94218,04/01/2020,18:11,1,525204,183072,,
94228,04/01/2020,19:36,1,521365,183587,,
94223,04/01/2020,18:28,1,524328,187852,,
94230,04/01/2020,20:48,3,545508,266430,,
94226,04/01/2020,19:21,1,521165,186601,,
94225,04/01/2020,19:12,3,542528,267488,,
94222,04/01/2020,18:24,1,520141,186061,,
94221,04/01/2020,18:23,1,520614,186103,,
94216,04/01/2020,17:54,1,518256,183145,,
94214,04/01/2020,17:43,1,521669,185228,,
94213,04/01/2020,17:25,1,521526,186076,,
7532,04/01/2020,20:29,3,542003,268285,,
7531,04/01/2020,20:21,2,395316,287636,,
7527,04/01/2020,19:57,2,399086,279738,,
7526,04/01/2020,19:57,2,404759,279169,,
7522,04/01/2020,19:36,2,410895,278534,,
7520,04/01/2020,19:29,3,543729,257204,,
7518,04/01/2020,19:27,2,402109,283558,,
7517,04/01/2020,19:29,2,410312,280955,,
7512,04/01/2020,18:51,3,541194,264184,,
7511,04/01/2020,18:46,2,409249,277974,,
7510,04/01/2020,18:47,2,400544,287157,,
7506,04/01/2020,18:39,2,412498,286044,,
7505,04/01/2020,18:37,2,402200,286893,,
7499,04/01/2020,17:40,2,406048,289917,,
7497,04/01/2020,17:12,2,396659,274140,,
7528,04/01/2020,20:03,3,543707,264827,,
7515,04/01/2020,19:11,2,405069,287184,,
7503,04/01/2020,18:25,2,412529,285281,,
7530,04/01/2020,20:12,2,395723,292126,,
7524,04/01/2020,19:46,3,540203,264416,,
7519,04/01/2020,19:28,2,413835,284161,,
7516,04/01/2020,19:15,3,541392,257361,,
7509,04/01/2020,18:43,2,396418,288461,,
7504,04/01/2020,18:34,3,545098,261806,,
7501,04/01/2020,18:01,2,408699,278721,,
7498,04/01/2020,17:39,2,413658,286072,,
7525,04/01/2020,19:55,2,406552,280406,,
7523,04/01/2020,19:44,2,400144,288711,,
7521,04/01/2020,19:31,2,398170,278544,,
7514,04/01/2020,19:01,2,401739,286284,,
7513,04/01/2020,18:57,2,407720,282832,,
7508,04/01/2020,18:41,3,543889,267905,,
7507,04/01/2020,18:39,2,404472,276759,,
7496,04/01/2020,16:49,3,540805,258097,,
7502,04/01/2020,18:20,2,394596,282234,,
7500,04/01/2020,17:52,3,543018,259081,,
94245,05/01/2020,21:38,3,547652,264245,,
94235,05/01/2020,17:23,3,548392,266480,,
94239,05/01/2020,18:35,1,519583,182820,,
94236,05/01/2020,17:38,1,524315,187650,,
94233,05/01/2020,16:56,1,524847,187767,,
94242,05/01/2020,19:12,1,522473,186542,,
94240,05/01/2020,18:38,3,539464,264010,,
94243,05/01/2020,19:41,1,522648,184785,,
94241,05/01/2020,18:59,1,524058,186536,,
94238,05/01/2020,18:02,1,524280,182481,,
94234,05/01/2020,17:13,1,519134,183433,,
94237,05/01/2020,17:43,1,519851,187906,,
94244,05/01/2020,20:52,1,520899,183355,,
94232,05/01/2020,13:57,1,523251,185483,,
94231,05/01/2020,13:54,1,518344,183611,,
7541,05/01/2020,18:59,2,395264,274756,,
7540,05/01/2020,18:50,3,543104,265792,,
7539,05/01/2020,18:42,2,399907,290382,,
7548,05/01/2020,20:34,3,543686,265741,,
7543,05/01/2020,19:42,2,399994,287666,,
7536,05/01/2020,17:06,3,541043,259838,,
7546,05/01/2020,20:05,2,410691,285282,,
7545,05/01/2020,19:46,2,410300,283765,,
7542,05/01/2020,19:40,2,404131,277064,,
7538,05/01/2020,17:56,2,403330,278156,,
7549,05/01/2020,22:03,2,405928,285099,,
7537,05/01/2020,17:08,2,405442,282005,,
7534,05/01/2020,15:11,2,399198,281998,,
7547,05/01/2020,20:30,2,397014,289795,,
7544,05/01/2020,19:41,3,543373,261530,,
7535,05/01/2020,16:49,2,395201,291536,,
7550,05/01/2020,22:13,2,394597,289925,,
94246,06/01/2020,12:25,1,519400,184934,,
94247,06/01/2020,17:56,1,521079,185088,,
94249,06/01/2020,18:43,1,519718,184892,,
94248,06/01/2020,18:39,1,525796,183394,,
94250,06/01/2020,20:35,3,542491,263272,,
7556,06/01/2020,19:01,3,545699,255527,,
7555,06/01/2020,18:52,2,396242,286919,,
7554,06/01/2020,18:49,2,407157,275841,,
7552,06/01/2020,17:52,3,543759,267785,,
7551,06/01/2020,16:50,2,397113,273511,,
7557,06/01/2020,19:36,2,410876,274202,,
7558,06/01/2020,19:40,2,410662,276428,,
7553,06/01/2020,18:38,2,409633,276380,,
94251,07/01/2020,16:39,1,518426,182593,,
7568,07/01/2020,19:46,3,540285,260206,,
7564,07/01/2020,18:43,3,543506,261481,,
7563,07/01/2020,17:43,2,407478,287096,,
7562,07/01/2020,17:29,2,402679,288592,,
7561,07/01/2020,16:29,2,400916,275401,,
7560,07/01/2020,16:22,3,542085,257154,,
7569,07/01/2020,20:57,2,396645,275019,,
7565,07/01/2020,18:49,2,406743,286963,,
7566,07/01/2020,19:01,2,403741,275282,,
94252,08/01/2020,18:13,1,522262,182574,,
94256,08/01/2020,19:18,1,523218,182785,,
94254,08/01/2020,19:12,1,518682,188023,,
94255,08/01/2020,19:15,3,540570,266233,,
94253,08/01/2020,18:50,1,519410,185463,,
7579,08/01/2020,20:40,2,409221,283320,,
7576,08/01/2020,19:03,3,539410,265927,,
7574,08/01/2020,18:39,2,397607,276215,,
7582,08/01/2020,21:45,2,395537,273255,,
7577,08/01/2020,19:06,2,413190,288176,,
7572,08/01/2020,17:57,3,545892,267900,,
7581,08/01/2020,21:15,2,401033,275876,,
7580,08/01/2020,21:11,3,548007,263364,,
7571,08/01/2020,17:37,2,395582,275394,,
7570,08/01/2020,13:07,2,410920,285467,,
7573,08/01/2020,17:57,2,401632,284604,,
7575,08/01/2020,18:59,2,410203,282256,,
94261,09/01/2020,19:01,1,522105,185086,,
94260,09/01/2020,18:47,3,546104,255370,,
94259,09/01/2020,18:22,1,519087,184233,,
94262,09/01/2020,19:34,1,519545,185740,,
94258,09/01/2020,15:12,1,523796,186902,,
94264,09/01/2020,21:01,1,522864,182602,,
94263,09/01/2020,19:57,1,523990,183916,,
94257,09/01/2020,13:23,1,521877,187305,,
7584,09/01/2020,17:48,3,542848,263621,,
7591,09/01/2020,20:05,2,413278,287182,,
7589,09/01/2020,19:38,2,399736,287010,,
7587,09/01/2020,19:08,2,411541,281778,,
7586,09/01/2020,18:58,2,410677,276690,,
7585,09/01/2020,18:06,2,396889,275322,,
7590,09/01/2020,19:46,2,409831,280885,,
94272,10/01/2020,19:53,1,524555,182999,,
94270,10/01/2020,18:51,3,541525,263174,,
94265,10/01/2020,17:39,3,545995,260084,,
94271,10/01/2020,19:13,1,521087,183811,,
94269,10/01/2020,18:47,1,520943,184144,,
94268,10/01/2020,18:41,1,522322,185669,,
94266,10/01/2020,17:56,1,519275,182492,,
94267,10/01/2020,18:21,1,519680,186484,,
7614,10/01/2020,20:53,2,413938,287340,,
7613,10/01/2020,20:30,2,409446,284533,,
7605,10/01/2020,18:38,2,403880,281008,,
7602,10/01/2020,18:22,2,403449,276794,,
7597,10/01/2020,17:42,2,402671,291953,,
7606,10/01/2020,18:46,2,400066,279730,,
7612,10/01/2020,20:19,3,543289,259368,,
7609,10/01/2020,19:47,2,397423,280382,,
7608,10/01/2020,18:49,3,541441,259832,,
7601,10/01/2020,18:18,2,400123,283637,,
7611,10/01/2020,19:47,2,396198,279214,,
7607,10/01/2020,18:46,2,405992,284369,,
7604,10/01/2020,18:34,3,544444,259129,,
7603,10/01/2020,18:27,2,409208,273526,,
7600,10/01/2020,18:16,3,547735,263124,,
7599,10/01/2020,17:56,2,398626,275804,,
7598,10/01/2020,17:44,2,413485,288616,,
7596,10/01/2020,17:40,3,547897,265082,,
7595,10/01/2020,17:22,2,394348,286938,,
7593,10/01/2020,15:31,2,412486,284325,,
7594,10/01/2020,17:01,2,394826,274885,,
94281,11/01/2020,20:03,1,521302,182475,,
94280,11/01/2020,19:57,3,541527,267743,,
94279,11/01/2020,19:15,1,524192,186313,,
94278,11/01/2020,19:01,1,520653,187651,,
94277,11/01/2020,18:18,1,518907,183166,,
94276,11/01/2020,18:17,1,523095,182948,,
94282,11/01/2020,20:12,1,523246,185823,,
94275,11/01/2020,18:14,3,541544,262443,,
94274,11/01/2020,16:54,1,524225,185535,,
94273,11/01/2020,10:10,1,521121,186359,,
7652,11/01/2020,20:32,3,543447,256585,,
7647,11/01/2020,19:41,2,398306,290667,,
7642,11/01/2020,19:13,2,398534,282023,,
7640,11/01/2020,19:04,3,544824,264474,,
7636,11/01/2020,18:49,3,540095,263038,,
7633,11/01/2020,18:29,2,400830,288533,,
7632,11/01/2020,18:20,3,546525,262478,,
7627,11/01/2020,18:07,2,400924,280920,,
7624,11/01/2020,17:57,3,546463,264738,,
7618,11/01/2020,16:01,2,411343,277920,,
7616,11/01/2020,15:29,3,541453,259264,,
7653,11/01/2020,20:33,2,398336,280585,,
7648,11/01/2020,19:54,3,539859,264268,,
7634,11/01/2020,18:28,2,405178,283292,,
7617,11/01/2020,15:30,2,396077,284463,,
7615,11/01/2020,12:56,2,396525,289127,,
7651,11/01/2020,20:14,2,413902,282361,,
7643,11/01/2020,19:24,2,401068,274493,,
7657,11/01/2020,21:35,2,396357,289619,,
7655,11/01/2020,20:48,2,399114,283747,,
7645,11/01/2020,19:32,2,394725,290832,,
7644,11/01/2020,19:30,3,539443,255929,,
7635,11/01/2020,18:43,2,410597,273067,,
7619,11/01/2020,17:10,2,401603,288121,,
7654,11/01/2020,20:42,2,403156,275239,,
7650,11/01/2020,20:06,2,410595,282029,,
7638,11/01/2020,18:50,2,394367,289136,,
7637,11/01/2020,18:49,2,401390,287603,,
7630,11/01/2020,18:10,2,399623,276940,,
7628,11/01/2020,18:09,3,545265,255920,,
7623,11/01/2020,17:24,2,398429,282922,,
7622,11/01/2020,17:21,2,403751,288060,,
7621,11/01/2020,17:07,2,411562,282081,,
7620,11/01/2020,17:04,3,547710,262259,,
7641,11/01/2020,19:10,2,399613,287057,,
7631,11/01/2020,18:12,2,402487,284963,,
7639,11/01/2020,18:56,2,401242,274436,,
94286,12/01/2020,17:23,1,518643,183856,,
94289,12/01/2020,20:47,1,525177,184421,,
94285,12/01/2020,17:11,3,548317,265480,,
94284,12/01/2020,17:00,1,520825,187647,,
94287,12/01/2020,18:01,1,524507,185763,,
94283,12/01/2020,00:04,1,522162,186149,,
94288,12/01/2020,18:51,1,525215,187224,,
94290,12/01/2020,22:09,3,542055,263271,,
7691,12/01/2020,19:53,2,402127,287636,,
7687,12/01/2020,18:36,2,401660,280953,,
7685,12/01/2020,18:12,2,396800,281688,,
7680,12/01/2020,17:16,3,543599,263266,,
7679,12/01/2020,17:12,2,408911,275063,,
7688,12/01/2020,19:02,3,547860,263327,,
7684,12/01/2020,18:12,3,546024,268465,,
7681,12/01/2020,17:40,2,408054,273720,,
7683,12/01/2020,18:02,2,395454,283622,,
7690,12/01/2020,19:04,2,401741,284573,,
7689,12/01/2020,19:01,2,401569,291920,,
7682,12/01/2020,17:47,2,408076,276888,,
7698,12/01/2020,22:30,2,398949,274007,,
7686,12/01/2020,18:33,2,401461,275062,,
7697,12/01/2020,22:30,2,403309,277577,,
94296,13/01/2020,20:15,1,523870,185272,,
94294,13/01/2020,18:19,1,522035,186497,,
94293,13/01/2020,18:03,1,522516,183025,,
94291,13/01/2020,17:05,1,524994,184910,,
94295,13/01/2020,18:39,3,541899,259256,,
94292,13/01/2020,18:01,1,524957,185173,,
7702,13/01/2020,18:34,2,411101,291049,,
7701,13/01/2020,17:33,2,406517,289228,,
7703,13/01/2020,18:56,2,410192,286909,,
94297,14/01/2020,18:18,1,524556,183176,,
7711,14/01/2020,19:17,2,410430,287329,,
7710,14/01/2020,19:04,2,406794,278388,,
7712,14/01/2020,19:21,3,540947,255739,,
7709,14/01/2020,18:57,2,401918,290379,,
7707,14/01/2020,18:12,2,399875,277518,,
7704,14/01/2020,10:06,3,547158,264864,,
7715,14/01/2020,21:05,2,410462,285173,,
7713,14/01/2020,20:06,2,400356,276933,,
7708,14/01/2020,18:35,3,541881,267109,,
7706,14/01/2020,17:21,2,399602,273359,,
7705,14/01/2020,16:58,2,412719,277663,,
7714,14/01/2020,20:56,2,395615,273604,,
94302,15/01/2020,18:37,1,519446,184492,,
94301,15/01/2020,17:49,1,521239,183312,,
94298,15/01/2020,17:06,1,522574,183687,,
94305,15/01/2020,19:37,3,541970,257097,,
94304,15/01/2020,19:08,1,524087,188054,,
94300,15/01/2020,17:39,3,547892,258519,,
94308,15/01/2020,19:49,1,525370,185815,,
94307,15/01/2020,19:43,1,521579,187180,,
94306,15/01/2020,19:45,1,525335,187241,,
94309,15/01/2020,20:25,1,522145,187293,,
94299,15/01/2020,17:06,1,523512,186089,,
94303,15/01/2020,18:53,1,521818,182630,,
7721,15/01/2020,18:29,2,411699,279741,,
7718,15/01/2020,18:01,2,413645,285531,,
7722,15/01/2020,19:09,2,405560,288625,,
94311,16/01/2020,18:14,1,525861,182730,,
94317,16/01/2020,20:28,1,521829,185874,,
94313,16/01/2020,18:57,1,521635,182867,,
94314,16/01/2020,18:58,1,520975,184147,,
94316,16/01/2020,19:15,1,518839,184017,,
94315,16/01/2020,19:13,3,542627,260686,,
94312,16/01/2020,18:43,1,525833,185368,,
94310,16/01/2020,17:52,3,541903,264761,,
7724,16/01/2020,18:40,3,542294,267790,,
7723,16/01/2020,18:21,2,407892,274080,,
7727,16/01/2020,19:26,2,396429,274190,,
7729,16/01/2020,20:11,2,404912,282576,,
7728,16/01/2020,20:07,3,545936,258318,,
7726,16/01/2020,18:56,2,394375,273496,,
7725,16/01/2020,18:51,2,410646,280557,,
7730,16/01/2020,21:11,2,395987,283952,,
94321,17/01/2020,17:52,1,525039,182787,,
94319,17/01/2020,17:45,1,521284,185330,,
94324,17/01/2020,18:39,1,523663,184471,,
94322,17/01/2020,18:18,1,520575,182356,,
94328,17/01/2020,20:34,1,520910,186033,,
94326,17/01/2020,19:51,1,521651,184466,,
94325,17/01/2020,19:26,3,543801,257515,,
94327,17/01/2020,19:56,1,518542,184040,,
94320,17/01/2020,17:49,3,544106,256787,,
94318,17/01/2020,14:04,1,523638,185969,,
94323,17/01/2020,18:20,1,524069,182460,,
7747,17/01/2020,19:23,2,399426,281558,,
7743,17/01/2020,18:26,2,402525,286954,,
7742,17/01/2020,18:10,2,397548,288733,,
7740,17/01/2020,17:58,3,545057,264077,,
7739,17/01/2020,17:43,2,408605,286114,,
7745,17/01/2020,18:53,2,409143,281026,,
7749,17/01/2020,19:42,2,410391,286525,,
7748,17/01/2020,19:40,3,539574,259904,,
7744,17/01/2020,18:27,3,544821,261915,,
7753,17/01/2020,22:01,2,411144,276401,,
7752,17/01/2020,20:45,3,547297,262456,,
7741,17/01/2020,18:03,2,398409,290111,,
7754,17/01/2020,22:42,2,396348,290147,,
7750,17/01/2020,20:06,2,399651,291294,,
7746,17/01/2020,19:05,2,401721,289941,,
7738,17/01/2020,17:33,2,411349,285770,,
7737,17/01/2020,17:22,2,403856,278402,,
7736,17/01/2020,17:16,3,547291,256292,,
7751,17/01/2020,20:21,2,404337,282342,,
94344,18/01/2020,20:57,1,525269,186652,,
94333,18/01/2020,18:26,1,518459,182433,,
94332,18/01/2020,18:18,1,522515,182755,,
94330,18/01/2020,17:45,3,546763,257615,,
94331,18/01/2020,17:51,1,522041,186917,,
94337,18/01/2020,18:49,1,521543,182775,,
94336,18/01/2020,18:51,1,523692,183214,,
94334,18/01/2020,18:43,1,523340,186572,,
94342,18/01/2020,20:09,1,525191,187021,,
94340,18/01/2020,19:15,3,547136,268176,,
94339,18/01/2020,19:09,1,525476,186391,,
94338,18/01/2020,19:02,1,520467,185976,,
94335,18/01/2020,18:45,3,540916,256903,,
94329,18/01/2020,11:38,1,519401,186643,,
94341,18/01/2020,19:17,1,522710,183131,,
94343,18/01/2020,20:16,1,522400,185743,,
7790,18/01/2020,20:23,2,395332,275820,,
7779,18/01/2020,19:06,2,409533,289882,,
7772,18/01/2020,18:28,3,539905,266351,,
7769,18/01/2020,18:13,2,411618,284853,,
7760,18/01/2020,17:47,3,545940,264618,,
7757,18/01/2020,16:47,2,408322,281361,,
7755,18/01/2020,13:23,2,409542,284078,,
7786,18/01/2020,19:42,2,406358,282261,,
7777,18/01/2020,18:53,2,404344,289475,,
7774,18/01/2020,18:40,2,412315,284402,,
7773,18/01/2020,18:31,2,410562,280406,,
7770,18/01/2020,18:16,2,401398,288768,,
7761,18/01/2020,17:58,2,397208,279750,,
7759,18/01/2020,17:45,2,404924,280544,,
7795,18/01/2020,21:17,2,413905,278188,,
7794,18/01/2020,20:59,2,408526,286830,,
7793,18/01/2020,20:55,2,398586,285548,,
7789,18/01/2020,20:17,2,409626,275949,,
7783,18/01/2020,19:36,2,401663,282417,,
7782,18/01/2020,19:20,2,394354,281220,,
7780,18/01/2020,19:08,3,547570,265788,,
7776,18/01/2020,18:52,3,539561,260805,,
7762,18/01/2020,18:03,2,396376,290602,,
7796,18/01/2020,22:27,3,540105,261707,,
7792,18/01/2020,20:33,3,540351,266950,,
7791,18/01/2020,20:26,2,398346,283154,,
7785,18/01/2020,19:37,2,408325,280624,,
7784,18/01/2020,19:37,3,539474,263210,,
7781,18/01/2020,19:12,2,395764,287721,,
7778,18/01/2020,18:58,2,410310,284626,,
7775,18/01/2020,18:48,2,396889,282210,,
7768,18/01/2020,18:12,3,542821,265685,,
7767,18/01/2020,18:14,2,399245,274939,,
7766,18/01/2020,18:11,2,412864,275951,,
7765,18/01/2020,18:09,2,400756,274571,,
7764,18/01/2020,18:08,3,543809,260033,,
7763,18/01/2020,18:05,2,411064,274162,,
7758,18/01/2020,16:59,2,410208,281551,,
7756,18/01/2020,16:20,3,541577,264769,,
7787,18/01/2020,20:02,2,411459,275003,,
7771,18/01/2020,18:27,2,410387,279712,,
7788,18/01/2020,20:08,3,539659,259610,,
94345,19/01/2020,17:31,3,543436,255483,,
94346,19/01/2020,18:13,1,523362,187657,,
7809,19/01/2020,18:50,2,413138,279889,,
7808,19/01/2020,18:49,3,543545,262026,,
7806,19/01/2020,18:27,2,411988,274362,,
7805,19/01/2020,18:26,2,410244,281647,,
7802,19/01/2020,17:34,2,412279,275787,,
7812,19/01/2020,20:44,3,539564,267095,,
7799,19/01/2020,17:03,2,401691,280844,,
7798,19/01/2020,16:54,2,404231,275059,,
7810,19/01/2020,19:32,2,404835,275251,,
7804,19/01/2020,17:45,3,540710,266833,,
7803,19/01/2020,17:43,2,397190,278449,,
7801,19/01/2020,17:34,2,395593,289593,,
7800,19/01/2020,17:15,3,541010,266655,,
7811,19/01/2020,20:16,2,398158,278981,,
7797,19/01/2020,13:00,2,402285,288508,,
94354,20/01/2020,21:50,1,522675,184290,,
94353,20/01/2020,19:51,1,519447,184826,,
94351,20/01/2020,19:12,1,525296,187614,,
94349,20/01/2020,18:15,1,524486,184618,,
94348,20/01/2020,17:52,1,519081,187607,,
94350,20/01/2020,19:11,3,542773,261858,,
94352,20/01/2020,19:28,1,522882,185725,,
94347,20/01/2020,16:54,1,525088,184251,,
7818,20/01/2020,19:46,2,408676,289137,,
7819,20/01/2020,20:04,2,397238,274424,,
7817,20/01/2020,19:18,2,398474,291287,,
7815,20/01/2020,17:33,2,409068,287321,,
7820,20/01/2020,20:15,3,545015,259225,,
7816,20/01/2020,18:07,3,548263,255469,,
7814,20/01/2020,16:01,2,406423,285557,,
94358,21/01/2020,22:02,1,524155,182712,,
94356,21/01/2020,17:20,1,522830,186765,,
94357,21/01/2020,17:21,1,520825,184873,,
7824,21/01/2020,18:58,3,545260,260696,,
7822,21/01/2020,18:53,2,395192,273185,,
7828,21/01/2020,22:10,3,545967,259165,,
7823,21/01/2020,18:55,2,408307,281868,,
7825,21/01/2020,19:48,2,398436,278232,,
7821,21/01/2020,17:59,2,401799,282347,,
94364,22/01/2020,18:53,1,521166,187190,,
94363,22/01/2020,18:00,1,522818,183225,,
94367,22/01/2020,19:47,1,524824,186492,,
94360,22/01/2020,12:34,3,545270,265282,,
94359,22/01/2020,12:27,1,522949,185730,,
94369,22/01/2020,20:56,1,523819,182458,,
94368,22/01/2020,19:49,1,525847,186670,,
94366,22/01/2020,19:28,1,523214,187703,,
94362,22/01/2020,17:53,1,519777,184632,,
94361,22/01/2020,17:29,1,523664,184943,,
94365,22/01/2020,19:11,3,544194,266281,,
7833,22/01/2020,19:26,2,397175,282597,,
7830,22/01/2020,18:44,2,395066,275540,,
7831,22/01/2020,18:52,2,405392,289587,,
7832,22/01/2020,18:56,3,545127,258283,,
94379,23/01/2020,21:50,1,518290,184263,,
94375,23/01/2020,18:32,3,545355,264914,,
94371,23/01/2020,15:42,1,520452,187775,,
94378,23/01/2020,20:37,1,521058,183937,,
94376,23/01/2020,19:41,1,518683,187225,,
94377,23/01/2020,19:34,1,522927,187610,,
94370,23/01/2020,11:51,3,539894,265899,,
